City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,abra pampa,-22.7205,-65.697,52.7,70,100,9.69,AR,1731377514
297,luganville,-15.5333,167.1667,80.74,75,96,10.22,VU,1731377518
298,gaiman,-43.2897,-65.4929,61.0,31,99,22.84,AR,1731377519
299,charleston,32.7766,-79.9309,70.02,93,0,5.75,US,1731377494
300,bam,29.106,58.357,61.32,38,0,1.14,IR,1731377522
301,cuenca,-2.8833,-78.9833,52.45,87,28,3.67,EC,1731377356
302,pangody,65.85,74.4859,-4.74,100,100,8.46,RU,1731377524
303,wuhu,31.3366,118.3755,66.78,58,0,10.42,CN,1731377526
304,mugia,43.1041,-9.2179,57.9,80,11,21.77,ES,1731377527
305,fada,7.25,4.0667,72.19,98,46,1.48,NG,1731377528
306,bure,10.7,37.0667,58.35,80,91,2.48,ET,1731377529
307,ormara,25.2088,64.6357,79.86,38,0,8.34,PK,1731377530
308,smara,26.7384,-11.6719,63.03,87,0,5.64,EH,1731377532
309,puerto leguizamo,-0.1934,-74.7819,78.62,75,100,2.62,CO,1731377533
310,prachuap khiri khan,12.2167,99.75,81.5,70,75,4.29,TH,1731377387
311,guarapari,-20.6667,-40.4975,70.14,87,0,9.57,BR,1731377535
312,iron river,46.0927,-88.6423,33.55,73,100,8.43,US,1731377536
313,balkanabat,39.5108,54.3671,51.98,78,100,0.72,TM,1731377538
314,puerto aysen,-45.4,-72.7,45.63,100,100,5.28,CL,1731377539
315,avarua,-21.2078,-159.775,75.25,60,20,16.11,CK,1731377540
316,kalamata,37.0389,22.1142,58.1,80,75,10.36,GR,1731377541
317,aljezur,37.3191,-8.8033,60.31,67,0,6.85,PT,1731377542
318,saldanha,-33.0117,17.9442,59.95,91,53,14.36,ZA,1731377544
319,borovichi,58.3878,33.9155,30.76,91,100,4.61,RU,1731377398
320,kimbe,-5.5502,150.1429,88.45,62,49,6.6,PG,1731377546
321,kiruna,67.8557,20.2251,18.52,93,100,8.05,SE,1731377547
322,baharly,38.4362,57.4316,52.74,80,100,3.33,TM,1731377548
323,siquirres,10.0975,-83.5066,73.69,97,100,2.42,CR,1731377433
324,charters towers,-20.1,146.2667,95.32,23,7,12.28,AU,1731377387
325,tumut,-35.3,148.2167,83.62,25,100,7.43,AU,1731377552
326,biankouma,7.7391,-7.6138,69.93,77,13,0.49,CI,1731377553
327,savanna-la-mar,18.219,-78.1332,79.93,93,84,3.29,JM,1731377554
328,eastham,41.8301,-69.9739,58.1,88,100,3.44,US,1731377556
329,saint-pierre,-21.3393,55.4781,73.08,73,0,3.44,RE,1731377557
330,kodiak,57.79,-152.4072,33.31,69,0,6.91,US,1731377288
331,raja,8.4596,25.678,73.24,40,29,3.24,SS,1731377559
332,east ballina,-28.8667,153.5833,71.51,91,100,7.23,AU,1731377561
333,abasolo,20.45,-101.5167,66.34,29,51,4.83,MX,1731377563
334,kavaratti,10.5669,72.642,84.07,67,87,9.08,IN,1731377564
335,kununurra,-15.7667,128.7333,100.72,32,87,6.64,AU,1731377567
336,banda aceh,5.5577,95.3222,80.49,72,100,3.78,ID,1731377568
337,baki,-7.6128,110.7839,83.08,71,99,2.98,ID,1731377569
338,farkhar,36.5729,69.8578,46.33,28,100,4.63,AF,1731377570
339,moranbah,-22.0016,148.0466,91.31,32,90,3.29,AU,1731377572
340,blairgowrie,56.5916,-3.3405,40.8,89,64,3.22,GB,1731377573
341,chibougamau,49.9168,-74.3659,28.15,94,100,16.78,CA,1731377574
342,nyurba,63.2842,118.3319,5.59,92,97,3.18,RU,1731377575
343,general villegas,-35.0328,-63.0125,52.32,32,26,0.96,AR,1731377577
344,constantia,44.1833,28.65,39.88,83,100,15.26,RO,1731377578
